ID,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9
5,294.466,39.16,43.7,29.9,8.8,6.402,24.167,52.2,19.667,329.06
6,255.162,24.8,31.82,31.5,10.5,8.502,16.751,66.1,15.145,265.73
7,177.355,28.15,30.33,23.1,6.7,7.34,16.941,68.3,15.419,256.63
8,127.567,12.18,26.88,0,8.8,5.255,22.137,62.9,12.133,215.24
11,137.479,49.35,23.8,21.8,11,4.071,17.752,47.8,10.612,161.2
12,69.989,30.49,22.94,19.5,12.1,4.005,21.149,53.4,9.675,158.26
15,106.646,10.08,19.69,16.6,10.3,4.006,16.704,55.9,9.355,159.53
17,106.482,43.26,18.32,23.6,7.3,3.064,9.976,50.4,8.672,121.07
18,113.821,7.82,18.01,28.4,7.8,3.119,8.656,70.5,9.152,125.91
20,116.861,46.51,14.64,38.8,7.7,3.38,8.517,67.4,7.292,103.75
24,89.257,20.45,13.8,37.2,21.4,1.949,8.863,50.7,5.432,79.89
25,68.319,21.49,13.75,29.8,10.6,2.53,8.354,48.4,6.176,90.37
28,81.51,33.41,12.93,35.8,10.1,2.289,7.593,59.9,6.563,91.06
29,107.37,91.55,12.54,53.8,11.1,2.28,6.45,60.1,5.752,77.66
33,77.316,36.5,11.21,34.6,11.1,2.358,6.224,62.9,5.393,77.92
37,72.41,34.34,9.29,28.9,8.3,1.844,3.215,65.1,4.226,59.09
39,52.094,22.98,8.86,76.2,9,1.644,7.673,48.2,3.946,51.85
40,68.109,12.19,8.64,31.7,20.6,1.396,6.158,55.4,3.528,58.79
41,52.606,17.08,8.33,24,8.8,1.062,5.315,56.2,3.675,54.89
43,42.786,33.58,8.05,35.1,11.3,1.649,5.512,44.9,3.591,49.41
45,46.213,21.87,7.77,47,10.2,1.098,4.342,51.9,3.554,51.42
46,34.941,32.14,7.74,47.7,9.4,1.285,3.459,40.3,4.017,49.24
47,44.513,34.91,7.69,48.5,9.7,1.496,5.62,59.6,3.623,47.98
48,33.936,40.8,7.73,59.6,9.9,1.597,7.496,47.3,3.809,46
50,43.01,31.99,6.94,80.6,8.7,0.983,4.749,50.8,2.924,41.27
55,19.09,14.9,6.24,33.1,11.9,0.827,3.818,47.4,3.002,41.44
56,32.146,56.77,6.1,55.8,10.5,0.76,3.883,56.2,2.92,40.35
59,29.1,3.12,5.94,19.5,7.5,0.769,2.463,55,2.987,43.52
62,29.157,0.47,5.64,41.9,11.9,0.745,3.352,36.3,2.589,39.15
64,30.684,21.15,5.26,19.9,9.1,0.676,2.296,38.8,2.533,29.62
66,31.358,11.65,5.16,14.5,8.6,0.746,4.277,54.4,2.371,37.24
68,24.269,15.53,4.87,50,8,2.207,4.931,52,2.572,29.91
69,36.418,20.23,4.77,22.1,21.8,0.752,2.317,55.7,1.942,32.83
71,38.205,59.66,4.72,39.5,9.6,0.737,1.907,52.7,2.466,30.07
73,27.161,1.92,4.62,60.5,10.8,0.617,1.789,44.1,2.126,31.58
75,20.053,22.77,4.55,39.5,7.5,0.512,1.788,61.9,2.211,28.53
77,31.539,16.17,4.35,71,6.9,0.518,2.031,54.1,1.979,26.17
78,25.65,10.57,4.35,90.7,6.1,0.479,2.551,51.1,1.634,20.12
79,16.985,16.24,4.29,13.4,11,0.832,2.938,55.4,2.078,28.85
80,24.266,16.76,4.23,36.6,9.2,0.505,3.297,60.7,1.563,26.89
83,28.171,48.83,4.02,72.4,7.3,0.873,2.236,64.9,1.852,23.53
87,25.046,26.18,3.85,31.7,6.1,0.836,2.159,48,1.456,19.92
88,26.428,14.65,3.74,30.3,6.8,0.598,6.456,50.6,1.647,22.01
90,16.529,17.5,3.7,49.3,9.7,0.446,3.472,58.2,1.765,24.39
93,19.138,22.07,3.64,57.3,9.7,0.356,2.167,45.5,1.659,23.31
95,15.623,6.55,3.64,75.2,6.6,0.425,3.879,51.6,1.63,20.88
96,16.405,18.03,3.62,35.3,10.4,0.483,2.137,53.7,1.689,26.66
100,20.465,11.36,3.33,58.6,9.7,0.448,2.63,68.1,1.714,23.96
103,17.379,17.58,3.1,56.8,11.5,0.565,2.081,65.3,1.312,19.39
104,18.676,11.98,3.13,55.1,8,1.171,3.877,71.2,1.723,20.38
114,12.787,19.75,2.91,46.5,12.6,0.405,2.896,51.5,1.338,18.53
120,19.133,18.58,2.77,24.3,13.7,0.354,1.562,46.3,1.169,15.07
128,8.398,4.95,2.64,50.7,7.8,0.22,1.177,52.6,1.195,16.61
130,29.237,11.48,5.89,45.3,11.1,0.891,5.79,54,2.77,35.1
131,29.058,15.09,6.43,37.6,12,1.087,4.9,51.4,3.196,39.82
132,14.446,20.13,2.54,61.7,9.7,0.273,1.484,50.9,1.067,14.12
134,13.474,4.71,2.51,46.3,8.6,0.219,1.128,47.8,1.053,14.58
135,15.596,45.52,2.49,54.4,9.1,0.329,0.719,61.9,1.18,13.86
136,10.391,14,2.42,50.8,8,0.29,1.271,45.7,1.044,13.51
139,14.018,10.11,2.33,37.8,10.5,0.264,0.964,70.7,0.932,13.37
